X,Y,OBJECTID,Join_Count,TARGET_FID,Join_Count_1,Incident_No,Time_Begun,UCR_No,HPD_Beat,HPD_District,Offense,Address_Range,Premise_Type,X_Coord,Y_Coord,Zip_Code,Time_Frame,SNB_No,SNB_Name,Council_District,HPD_Division
-95.423294181442728,29.968259655181267,6309,1,6309,1,105905618,2018-08-20T02:01:00.000Z,7033,22B20,22,Auto Theft,12500-12599 KUYKENDAHL,Other Parking Lot,3100825.54987,13916928.31364,77014,3,2,GREATER GREENSPOINT,B,North Belt Division
-95.337078416838594,29.796610887120956,6310,1,6310,1,110734918,2018-08-31T01:08:00.000Z,6073,7C20,7,Theft,3100-3199 CRANE,Convenience Store,3130065.82582,13855383.86342,77026,3,52,KASHMERE GARDENS,B,Northeast Division
-95.364947907643071,29.727933839655343,6311,1,6311,1,106386518,2018-08-20T20:00:00.000Z,7031,10H50,10,Auto Theft,2800-2899 TRUXILLO,Driveway,3122006.97521,13830146.75971,77004,3,67,GREATER THIRD WARD,D,South Central Division
-95.2896203339088,29.866545314931205,6312,1,6312,1,106877018,2018-08-22T09:00:00.000Z,6191,8C60,8,Theft,7700-7799 TULLY,Residence or House,3144303.73311,13881276.63451,77016,3,47,EAST LITTLE YORK / HOMESTEAD,B,Northeast Division
-95.287310049620999,29.700362146648466,6313,1,6313,1,105087818,2018-08-18T01:20:00.000Z,5001,11H20,11,Burglary,7500-7599 OFFICE CITY,Apartment,3146953.69165,13820899.82414,77012,3,70,PECAN PARK,I,Eastside Division
-95.13946897196756,29.560572913586729,6314,1,6314,1,105068818,2018-08-17T21:00:00.000Z,5002,12D70,12,Burglary,15800-15899 GALVESTON,Apartment,3195541.06288,13771616.28081,77598,3,81,CLEAR LAKE,E,Clear Lake Division
-95.588626869702665,29.736036508221812,6315,1,6315,1,104905318,2018-08-17T16:57:00.000Z,6074,20G30,20,Theft,2700-2799 S KIRKWOOD,Department or Discount St,3050962.19819,13830953.57798,77082,3,19,WESTCHASE,F,Westside Division
-95.554950024894922,29.667773651397653,6316,1,6316,1,106869818,2018-08-21T10:00:00.000Z,6141,19G50,19,Theft,10000-10099 FORUM WEST,Apartment Parking Lot,3062376.18403,13806455.19145,77036,3,29,WESTWOOD,J,Westside Division
-95.410647757424272,29.828966566187191,6317,1,6317,1,105233118,2018-08-18T10:50:00.000Z,6141,3B40,3,Theft,4400-4499 N SHEPHERD,"Gym, Recreat, Club House,",3106382.31672,13866420.81031,77018,3,13,INDEPENDENCE HEIGHTS,C,North Division
-95.387259205021365,29.745400964286901,6318,1,6318,1,104183818,2018-08-16T00:45:00.000Z,6131,1A20,1,Theft,2700-2799 WHITNEY,"Road, Street, or Sidewalk",3114733.05387,13836275.9673,77006,3,24,NEARTOWN - MONTROSE,C,Central Division
-95.300615999883078,29.878452813573212,6319,1,6319,1,108258818,2018-08-22T21:30:00.000Z,5071,8C60,8,Burglary,11100-11199 HOMESTEAD,"Church, Synagogue, or Tem",3140683.47684,13885494.21599,77016,3,47,EAST LITTLE YORK / HOMESTEAD,B,Northeast Division
